# IPTV 直播源汇总
# 更新时间: 2026-02-26 09:03:57（北京时间）
# 有效源总数: 1659

更新时间,#genre#
2026-02-26 09:03:57,http://logo.mp4

央视频道,#genre#
CCTV15,http://144.0.57.58:7004/rtp/239.21.2.4:5002$山东电信(258ms)
CCTV15,http://171.113.174.156:8686/rtp/239.69.1.155:10566$湖北电信(248ms)
CCTV15,http://27.17.212.242:8888/rtp/239.69.1.155:10566$湖北电信(253ms)
CCTV15,http://123.112.240.132:5555/rtp/239.3.1.153:8136$北京市联通(242ms)
CCTV16,http://171.113.174.156:8686/rtp/239.69.1.247:11124$湖北电信(248ms)
CCTV16,http://27.17.212.242:8888/rtp/239.69.1.247:11124$湖北电信(253ms)
CCTV16,http://123.112.240.132:5555/rtp/239.3.1.184:8001$北京市联通(242ms)
CCTV16,http://114.254.76.186:4022/rtp/239.3.1.184:8001$北京市联通(240ms)
CCTV17,http://144.0.57.58:7004/rtp/239.21.1.186:5002$山东电信(258ms)
CCTV17,http://171.113.174.156:8686/rtp/239.69.1.152:10548$湖北电信(248ms)
CCTV17,http://27.17.212.242:8888/rtp/239.69.1.152:10548$湖北电信(253ms)
CCTV17,http://123.112.240.132:5555/rtp/239.3.1.151:8144$北京市联通(242ms)
CCTV4K,http://171.113.174.156:8686/rtp/239.69.1.12:9712$湖北电信(248ms)
CCTV4K,http://27.17.212.242:8888/rtp/239.69.1.12:9712$湖北电信(253ms)
CCTV4K,http://27.18.30.81:8888/rtp/239.69.1.12:9712$湖北电信(237ms)
CCTV4K,http://60.186.33.137:4022/rtp/233.50.201.226:5140$浙江电信(254ms)
兵器科技,http://171.113.174.156:8686/rtp/239.69.1.79:10114$湖北电信(248ms)
兵器科技,http://27.17.212.242:8888/rtp/239.69.1.79:10114$湖北电信(253ms)
兵器科技,http://49.71.69.165:4000/rtp/239.49.8.88:8000$江苏电信(252ms)
兵器科技,http://27.18.30.81:8888/rtp/239.69.1.79:10114$湖北电信(237ms)
风云音乐,http://49.71.69.165:4000/rtp/239.49.8.92:8000$江苏电信(252ms)
